Round,Heat,Sail Number,Skipper Name,Club,Observer
Q1,Heat 1,00,Andrew Holly,NSW Northern Mariners,
Q1,Heat 1,11,Wayne Keavy,Kogarah Bay Radio Yacht Club,
Q1,Heat 1,23,Philip Pryde,NZL Northern Maritime Model Society,
Q1,Heat 1,36,Andrew Crocker,Albert Park Model Yacht Club,
Q1,Heat 1,37,Ian Gordon,Springfield Lakes Radio Yacht Club,
Q1,Heat 1,46,Mark Beneke,Fraser Coast Radio Yacht Club,
Q1,Heat 1,48,Paul Jones,Lake Macquarie Radio Yacht Club,
Q1,Heat 1,65,Vince Zweers,Illawarra Radio Yacht Club,
Q1,Heat 1,66,Roger Paul,Champion Lakes,
Q1,Heat 1,73,Will Thomson,Wynnum Manly Radio Model Yacht Club,
Q1,Heat 1,78,Brent Cowan,Pegasus Radio Sailing Club,
Q1,Heat 1,99,John Hudson,Wynnum Manly Radio Model Yacht Club,
Q1,Heat 1,124,John Glease,Lake Macquarie Radio Yacht Club,
Q1,Heat 1,158,Simon Kellett,Sunshine Coast Radio Sailing Club,
Q1,Heat 1,161,Andrew R Wilson,Wynnum Manly Radio Model Yacht Club,
Q1,Heat 1,223,Philip Wells,Eagleby Radio Yacht Club,
Q1,Heat 1,271,Ben Thorburn,Gladstone Radio Control Yacht Club,
Q1,Heat 2,02,Lindsay Walker,Kogarah Bay Radio Yacht Club,
Q1,Heat 2,10,Murray Walker,Springfield Lakes Radio Yacht Club,
Q1,Heat 2,24,Chris Woods,Champion Lakes,
Q1,Heat 2,35,John Levy,Nelson Radio Yacht Squadron,
Q1,Heat 2,39,Mark Wilson,Lake Macquarie Radio Yacht Club,
Q1,Heat 2,43,Jimmy Mee,Eagleby Radio Yacht Club,
Q1,Heat 2,50,Grant Hudson,Redlands Radio Sailing Club,
Q1,Heat 2,62,Trevor Shoebridge,North Shore Radio Yacht Squadron,
Q1,Heat 2,67,Garry Roberts,North Shore Radio Yacht Squadron,
Q1,Heat 2,72,Doug Allen,Sunshine Coast Radio Sailing Club,
Q1,Heat 2,81,Graham Clough,North Shore Radio Yacht Squadron,
Q1,Heat 2,97,Derick Warne,Sunshine Coast Radio Sailing Club,
Q1,Heat 2,133,Peter Mccully,North Shore Radio Yacht Squadron,
Q1,Heat 2,141,Michael Bourke,North Brisbane Radio Yacht Club,
Q1,Heat 2,168,Lester Pearson,Illawarra Radio Yacht Club,
Q1,Heat 2,189,Graham Payn,Lake Macquarie Radio Yacht Club,
Q1,Heat 3,07,Bruce Deane,Eagleby Radio Yacht Club,
